,NEIBORHOOD GROUP,CLASS,SALE PRICE
898,Manhattan,R,895000
899,Manhattan,R,460000
900,Manhattan,R,925000
901,Manhattan,R,1675000
902,Manhattan,R,400000
903,Manhattan,R,1945000
904,Manhattan,R,515000
905,Manhattan,R,576500
907,Manhattan,R,618000
908,Manhattan,R,595000
909,Manhattan,R,490000
910,Manhattan,R,575000
911,Manhattan,R,563250
912,Manhattan,R,483000
913,Manhattan,R,982500
915,Manhattan,R,1300000
916,Manhattan,R,735000
917,Manhattan,R,698000
918,Manhattan,R,700000
919,Manhattan,R,3700000
920,Manhattan,R,685000
921,Manhattan,R,699000
922,Manhattan,R,1220000
923,Manhattan,R,1160000
924,Manhattan,R,725000
925,Manhattan,R,620000
926,Manhattan,R,1200000
927,Manhattan,R,3755000
964,Manhattan,R,7610000
965,Manhattan,R,7100000
969,Manhattan,R,7214400
970,Manhattan,R,500000
973,Manhattan,R,137500
980,Manhattan,R,5100000
981,Manhattan,R,1750000
990,Manhattan,R,12250000
1016,Manhattan,R,1800000
1017,Manhattan,R,1547500
1018,Manhattan,R,999000
1019,Manhattan,R,2400000
1020,Manhattan,R,1440000
1021,Manhattan,R,2800000
1022,Manhattan,R,3266000
1023,Manhattan,R,2600000
1027,Manhattan,R,715000
1030,Manhattan,R,830000
1033,Manhattan,R,800000
1034,Manhattan,R,1270000
1035,Manhattan,R,1224000
1036,Manhattan,R,1695000
1038,Manhattan,R,735000
1044,Manhattan,R,522500
1045,Manhattan,R,925000
1046,Manhattan,R,1330000
1047,Manhattan,R,207870
1050,Manhattan,R,2050000
1051,Manhattan,R,4100000
1053,Manhattan,R,2570000
1054,Manhattan,R,3400000
1056,Manhattan,R,3510000
1057,Manhattan,R,2100000
1058,Manhattan,R,2291062
1059,Manhattan,R,2275000
1060,Manhattan,R,2450000
1061,Manhattan,R,1250000
1064,Manhattan,R,150000
1066,Manhattan,R,580000
1067,Manhattan,R,450000
1070,Manhattan,R,600000
1084,Manhattan,R,1581433
1085,Manhattan,R,1918188
1086,Manhattan,R,1739200
1088,Manhattan,R,1130000
1090,Manhattan,R,960000
1091,Manhattan,R,960000
1092,Manhattan,R,280000
1107,Manhattan,R,1305682
1108,Manhattan,R,1591427
1109,Manhattan,R,1751425
1110,Manhattan,R,1493862
1111,Manhattan,R,3403575
1112,Manhattan,R,4100000
1113,Manhattan,R,4306445
1114,Manhattan,R,2043645
1115,Manhattan,R,3500000
1116,Manhattan,R,23550000
1127,Manhattan,D,691400
1128,Manhattan,D,845000
1129,Manhattan,D,600000
1130,Manhattan,D,389000
1131,Manhattan,D,870000
1132,Manhattan,D,650000
1133,Manhattan,D,860000
1134,Manhattan,D,480000
1135,Manhattan,D,850000
1136,Manhattan,D,850000
1137,Manhattan,D,1350000
1139,Manhattan,D,879000
1141,Manhattan,D,2325000
1142,Manhattan,D,1750000
1144,Manhattan,D,1599000
1146,Manhattan,D,900000
1147,Manhattan,D,3500000
1149,Manhattan,D,1800000
1151,Manhattan,R,1781937
1152,Manhattan,R,988250
1153,Manhattan,R,1043706
1154,Manhattan,R,1250000
1155,Manhattan,R,4531212
1156,Manhattan,R,2978381
1157,Manhattan,R,5091250
1158,Manhattan,R,4571942
1159,Manhattan,R,2871465
1160,Manhattan,R,4816322
1161,Manhattan,R,2891830
1162,Manhattan,R,5193075
1163,Manhattan,R,4398840
1164,Manhattan,R,3141301
1165,Manhattan,R,5585101
1166,Manhattan,R,3161666
1167,Manhattan,R,6567712
1168,Manhattan,R,5404385
1169,Manhattan,R,3532727
1170,Manhattan,R,5361086
1171,Manhattan,R,5753112
1172,Manhattan,R,5142162
1173,Manhattan,R,5019972
1174,Manhattan,R,3222761
1175,Manhattan,R,5600375
1176,Manhattan,R,3243126
1177,Manhattan,R,5854937
1178,Manhattan,R,5641287
1179,Manhattan,R,3718172
1180,Manhattan,R,7484137
1181,Manhattan,R,4683950
1182,Manhattan,R,3283856
1183,Manhattan,R,6262237
1184,Manhattan,R,5345812
1185,Manhattan,R,4724680
1186,Manhattan,R,3304221
1187,Manhattan,R,8858775
1188,Manhattan,R,6450000
1189,Manhattan,R,3767525
1190,Manhattan,R,4459935
1191,Manhattan,R,8655125
1192,Manhattan,R,6250000
1193,Manhattan,R,3808255
1194,Manhattan,R,4317380
1195,Manhattan,R,8425000
1196,Manhattan,R,6567712
1197,Manhattan,R,3848985
1198,Manhattan,R,4358110
1199,Manhattan,R,8858775
1200,Manhattan,R,6418625
1201,Manhattan,R,4169733
1202,Manhattan,R,4449752
1203,Manhattan,R,4210463
1204,Manhattan,R,4490482
1205,Manhattan,R,5065793
